short_code,full_code,codeName,marketCode,marketName,marketEngName,ord1,ord2
060310,KR7060310000,3S,KSQ,코스닥,KOSDAQ,,16
095570,KR7095570008,AJ네트웍스,STK,유가증권,KOSPI,,16
006840,KR7006840003,AK홀딩스,STK,유가증권,KOSPI,,16
054620,KR7054620000,APS,KSQ,코스닥,KOSDAQ,,16
265520,KR7265520007,AP시스템,KSQ,코스닥,KOSDAQ,,16
211270,KR7211270004,AP위성,KSQ,코스닥,KOSDAQ,,16
027410,KR7027410000,BGF,STK,유가증권,KOSPI,,16
282330,KR7282330000,BGF리테일,STK,유가증권,KOSPI,,16
126600,KR7126600006,BGF에코머티리얼즈,KSQ,코스닥,KOSDAQ,,16
138930,KR7138930003,BNK금융지주,STK,유가증권,KOSPI,,16
001460,KR7001460005,BYC,STK,유가증권,KOSPI,,16
001465,KR7001461003,BYC우,STK,유가증권,KOSPI,,16
013720,KR7013720008,CBI,KSQ,코스닥,KOSDAQ,,16
083790,KR7083790006,CG인바이츠,KSQ,코스닥,KOSDAQ,,16
001040,KR7001040005,CJ,STK,유가증권,KOSPI,,16
079160,KR7079160008,CJ CGV,STK,유가증권,KOSPI,,16
035760,KR7035760008,CJ ENM,KSQ,코스닥,KOSDAQ GLOBAL,,16
311690,KR7311690002,CJ 바이오사이언스,KSQ,코스닥,KOSDAQ,,16
00104K,KR700104K010,CJ4우(전환),STK,유가증권,KOSPI,,16
000120,KR7000120006,CJ대한통운,STK,유가증권,KOSPI,,16
011150,KR7011150000,CJ씨푸드,STK,유가증권,KOSPI,,16
011155,KR7011151008,CJ씨푸드1우,STK,유가증권,KOSPI,,16
001045,KR7001041003,CJ우,STK,유가증권,KOSPI,,16
097950,KR7097950000,CJ제일제당,STK,유가증권,KOSPI,,16
097955,KR7097951008,CJ제일제당 우,STK,유가증권,KOSPI,,16
051500,KR7051500007,CJ프레시웨이,KSQ,코스닥,KOSDAQ,,16
058820,KR7058820002,CMG제약,KSQ,코스닥,KOSDAQ,,16
023460,KR7023460009,CNH,KSQ,코스닥,KOSDAQ,,16
056730,KR7056730005,CNT85,KSQ,코스닥,KOSDAQ,,16
000480,KR7000480004,CR홀딩스,STK,유가증권,KOSPI,,16
065770,KR7065770000,CS,KSQ,코스닥,KOSDAQ,,16
083660,KR7083660001,CSA 코스믹,KSQ,코스닥,KOSDAQ,,16
000590,KR7000590000,CS홀딩스,STK,유가증권,KOSPI,,16
012030,KR7012030003,DB,STK,유가증권,KOSPI,,16
404950,KR7404950008,DB금융스팩10호,KSQ,코스닥,KOSDAQ,,16
456440,KR7456440007,DB금융스팩11호,KSQ,코스닥,KOSDAQ,,16
016610,KR7016610008,DB금융투자,STK,유가증권,KOSPI,,16
005830,KR7005830005,DB손해보험,STK,유가증권,KOSPI,,16
000990,KR7000990002,DB하이텍,STK,유가증권,KOSPI,,16
139130,KR7139130009,DGB금융지주,STK,유가증권,KOSPI,,16
060900,KR7060900008,DGP,KSQ,코스닥,KOSDAQ,,16
025440,KR7025440009,DH오토웨어,KSQ,코스닥,KOSDAQ,,16
001530,KR7001530005,DI동일,STK,유가증권,KOSPI,,16
000210,KR7000210005,DL,STK,유가증권,KOSPI,,16
001880,KR7001880004,DL건설,STK,유가증권,KOSPI,,16
000215,KR7000211003,DL우,STK,유가증권,KOSPI,,16
375500,KR7375500006,DL이앤씨,STK,유가증권,KOSPI,,16
37550L,KR737550K029,DL이앤씨2우(전환),STK,유가증권,KOSPI,,16
37550K,KR737550K011,DL이앤씨우,STK,유가증권,KOSPI,,16
068790,KR7068790005,DMS,KSQ,코스닥,KOSDAQ,,16
007340,KR7007340003,DN오토모티브,STK,유가증권,KOSPI,,16
004840,KR7004840005,DRB동일,STK,유가증권,KOSPI,,16
241520,KR7241520006,DSC인베스트먼트,KSQ,코스닥,KOSDAQ,,16
065150,KR7065150005,DSEN,KSQ,코스닥,KOSDAQ,,16
155660,KR7155660004,DSR,STK,유가증권,KOSPI,,16
069730,KR7069730000,DSR제강,STK,유가증권,KOSPI,,16
180400,KR7180400004,DXVX,KSQ,코스닥,KOSDAQ,,16
017940,KR7017940008,E1,STK,유가증권,KOSPI,,16
245620,KR7245620000,EDGC,KSQ,코스닥,KOSDAQ,,16
037370,KR7037370004,EG,KSQ,코스닥,KOSDAQ,,16
278990,KR7278990007,EMB,KNX,코넥스,KONEX,,16
365550,KR7365550003,ESR켄달스퀘어리츠,STK,유가증권,KOSPI,,16
050120,KR7050120005,ES큐브,KSQ,코스닥,KOSDAQ,,16
383220,KR7383220001,F&F,STK,유가증권,KOSPI,,16
007700,KR7007700008,F&F홀딩스,STK,유가증권,KOSPI,,16
214270,KR7214270001,FSN,KSQ,코스닥,KOSDAQ,,16
130500,KR7130500002,GH신소재,KSQ,코스닥,KOSDAQ,,16
114090,KR7114090004,GKL,STK,유가증권,KOSPI,,16
900290,HK0000307485,GRT,KSQ,코스닥,KOSDAQ,,16
078930,KR7078930005,GS,STK,유가증권,KOSPI,,16
083450,KR7083450007,GST,KSQ,코스닥,KOSDAQ,,16
006360,KR7006360002,GS건설,STK,유가증권,KOSPI,,16
001250,KR7001250000,GS글로벌,STK,유가증권,KOSPI,,16
007070,KR7007070006,GS리테일,STK,유가증권,KOSPI,,16
078935,KR7078931003,GS우,STK,유가증권,KOSPI,,16
297890,KR7297890006,HB솔루션,KSQ,코스닥,KOSDAQ,,16
078150,KR7078150000,HB테크놀러지,KSQ,코스닥,KOSDAQ,,16
012630,KR7012630000,HDC,STK,유가증권,KOSPI,,16
039570,KR7039570007,HDC랩스,STK,유가증권,KOSPI,,16
089470,KR7089470009,HDC현대EP,STK,유가증권,KOSPI,,16
294870,KR7294870001,HDC현대산업개발,STK,유가증권,KOSPI,,16
009540,KR7009540006,HD한국조선해양,STK,유가증권,KOSPI,,16
267250,KR7267250009,HD현대,STK,유가증권,KOSPI,,16
267270,KR7267270007,HD현대건설기계,STK,유가증권,KOSPI,,16
322000,KR7322000001,HD현대에너지솔루션,STK,유가증권,KOSPI,,16
042670,KR7042670000,HD현대인프라코어,STK,유가증권,KOSPI,,16
267260,KR7267260008,HD현대일렉트릭,STK,유가증권,KOSPI,,16
329180,KR7329180004,HD현대중공업,STK,유가증권,KOSPI,,16
097230,KR7097230007,HJ중공업,STK,유가증권,KOSPI,,16
195940,KR7195940002,HK이노엔,KSQ,코스닥,KOSDAQ GLOBAL,,16
014790,KR7014790000,HL D&I,STK,유가증권,KOSPI,,16
028300,KR7028300002,HLB,KSQ,코스닥,KOSDAQ,,16
003580,KR7003580008,HLB글로벌,STK,유가증권,KOSPI,,16
278650,KR7278650007,HLB바이오스텝,KSQ,코스닥,KOSDAQ,,16
343090,KR7343090007,HLB사이언스,KNX,코넥스,KONEX,,16
067630,KR7067630004,HLB생명과학,KSQ,코스닥,KOSDAQ,,16
024850,KR7024850000,HLB이노베이션,KSQ,코스닥,KOSDAQ,,16
047920,KR7047920004,HLB제약,KSQ,코스닥,KOSDAQ,,16
115450,KR7115450009,HLB테라퓨틱스,KSQ,코스닥,KOSDAQ,,16
046210,KR7046210001,HLB파나진,KSQ,코스닥,KOSDAQ,,16
204320,KR7204320006,HL만도,STK,유가증권,KOSPI,,16
060980,KR7060980000,HL홀딩스,STK,유가증권,KOSPI,,16
011200,KR7011200003,HMM,STK,유가증권,KOSPI,,16
403870,KR7403870009,HPSP,KSQ,코스닥,KOSDAQ,,16
036640,KR7036640001,HRS,KSQ,코스닥,KOSDAQ,,16
082740,KR7082740002,HSD엔진,STK,유가증권,KOSPI,,16
035000,KR7035000009,HS애드,STK,유가증권,KOSPI,,16
426550,KR7426550000,IBKS제19호스팩,KSQ,코스닥,KOSDAQ,,16
