,IDX_NM,IDX_EN_NM,BAS_TM_CONTN,ANNC_TM_CONTN,BAS_IDX_CONTN,CALC_CYCLE_CONTN,CALC_TM_CONTN,IND_TP_CD,IDX_IND_CD
0,미국달러선물지수,F-USDKRW ,2007/01/02,2010/01/18,"1,000.00",2초,09:00:30 ~ 15:45:00,S,001
1,엔선물지수,F-JPYKRW,2012/01/02,2015/09/14,"1,000.00",2초,09:00:30 ~ 15:45:00,S,008
2,유로선물지수,F-EURKRW,2012/01/02,2015/09/14,"1,000.00",2초,09:00:30 ~ 15:45:00,S,013
3,미국달러선물 TR 지수,F-USDKRW Total Return Index,2015/01/02,2020/07/13,"1,143.30",2초,09:00:30 ~ 15:45:00,S,018
4,코스피 200 선물지수 TWAP형,F-KOSPI 200 TWAP,2021/06/01,2021/08/30,"2,153.93",2초,08:45:30 ~ 15:45:00,1,284
5,코스피 200 선물지수,F-KOSPI 200,2007/01/02,2009/08/17,"1,000.00",2초,08:45:30 ~ 15:45:00,1,301
6,국채선물지수,F-KTB Index,2008/01/02,2011/07/18,"1,000.00",10초,09:00:30 ~ 15:45:00,1,307
7,국채 3-10년 선물지수,F-KTB Composite(3-10) Index,2011/01/03,2016/06/27,"1,000.00",10초,09:00:30 ~ 15:45:00,D,308
8,10년국채선물지수,F-LKTB Index,2011/01/03,2011/10/24,"1,000.00",10초,09:00:30 ~ 15:45:00,1,309
9,코스피 200 에너지/화학 선물지수,F-KOSPI 200 Energy/Chemicals,2017/01/02,2018/09/17,"1,000.00",2초,09:00:30 ~ 15:45:00,1,316
10,코스피 200 정보기술 선물지수,F-KOSPI 200 IT,2017/01/02,2018/09/17,"1,000.00",2초,09:00:30 ~ 15:45:00,1,317
11,코스피 200 금융 선물지수,F-KOSPI 200 Financials,2017/01/02,2018/09/17,"1,000.00",2초,09:00:30 ~ 15:45:00,1,318
12,코스피 200 경기소비재 선물지수,F-KOSPI 200 Consumer Discretionary,2017/01/02,2018/09/17,"1,000.00",2초,09:00:30 ~ 15:45:00,1,319
13,코스피 200 건설 선물지수,F-KOSPI 200 Constructions,2017/01/02,2018/09/17,"1,000.00",2초,09:00:30 ~ 15:45:00,1,320
14,코스피 200 중공업 선물지수,F-KOSPI 200 Heavy Industries,2017/01/02,2018/09/17,"1,000.00",2초,09:00:30 ~ 15:45:00,1,321
15,코스피 200 헬스케어 선물지수,F-KOSPI 200 Health Care,2017/01/02,2018/09/17,"1,000.00",2초,09:00:30 ~ 15:45:00,1,322
16,코스피 200 생활소비재 선물지수,F-KOSPI 200 Consumer Staples,2017/01/02,2018/09/17,"1,000.00",2초,09:00:30 ~ 15:45:00,1,323
17,코스피 200 철강/소재 선물지수,F-KOSPI 200 Steels/Materials,2017/01/02,2018/09/17,"1,000.00",2초,09:00:30 ~ 15:45:00,1,324
18,코스피 200 산업재 선물지수,F-KOSPI 200 Industrials,2017/01/02,2018/09/17,"1,000.00",2초,09:00:30 ~ 15:45:00,1,325
19,코스닥 150 선물지수 TWAP형,F-KOSDAQ 150 TWAP,2021/06/01,2021/08/30,"1,545.76",2초,08:45:30 ~ 15:45:00,2,420
20,KRX 2차전지 TOP 10 선물 TWAP 지수,F-Battery TOP 10 TWAP Index,2021/07/19,2023/07/17,"1,000.00",2초,09:00:30~15:45:00,D,894
21,5년 국채선물 추종 지수,F-KTB5 Duration Following Index,2015/01/02,2021/06/14,"1,000.00",10초,09:00:30 ~ 15:45:00,D,896
22,코스닥 150 선물지수,F-KOSDAQ 150 Index,2016/01/04,2016/02/01,"1,000.00",2초,08:45:30 ~ 15:45:00,2,902
23,KRX 300 선물지수,F-KRX 300,2018/03/26,2018/05/28,"1,000.00",2초,08:45:30 ~ 15:45:00,5,902
24,미니 코스피 200 선물지수,Mini F-KOSPI 200,2015/07/20,2016/11/28,"1,000.00",2초,08:45:30 ~ 15:45:00,1,910
