,ISU_CD,ISU_SRT_CD,ISU_NM,ISU_ABBRV,ISU_ENG_NM,LIST_DD,LSTTRD_DD,EXP_DD,ELW_ULY_TP_NM,ULY_NM,LIST_SHRS,ISUR_NM,ELW_CONV_RTO,RGHT_TP_NM,ELW_EXER_TP,EXER_PRC,LP_NM,ORD_SPD_RTO,ELW_LST_SETL_METHD
0,KRA581203D28,58J003,KB증권(주) 주식워런트증권 제J003호,KBJ003삼성전자풋,KB SECURITIES ELW J003,2023/02/10,2024/01/11,2024/01/15,주식,삼성전자,"15,800,000",KB증권,0.01,풋,유럽형,"59,000",KB증권,15,현금결제
1,KRA581102D38,58J126,KB증권(주) 주식워런트증권 제J126호,KBJ126삼성전자콜,KB SECURITIES ELW J126,2023/03/24,2024/02/08,2024/02/14,주식,삼성전자,"15,000,000",KB증권,0.01,콜,유럽형,"65,700",KB증권,15,현금결제
2,KRA581103D37,58J127,KB증권(주) 주식워런트증권 제J127호,KBJ127삼성전자콜,KB SECURITIES ELW J127,2023/03/24,2024/03/14,2024/03/18,주식,삼성전자,"13,200,000",KB증권,0.01,콜,유럽형,"64,300",KB증권,15,현금결제
3,KRA581104D36,58J128,KB증권(주) 주식워런트증권 제J128호,KBJ128삼성전자콜,KB SECURITIES ELW J128,2023/03/24,2024/02/08,2024/02/14,주식,삼성전자,"13,200,000",KB증권,0.01,콜,유럽형,"63,000",KB증권,15,현금결제
4,KRA581206D33,58J130,KB증권(주) 주식워런트증권 제J130호,KBJ130삼성전자풋,KB SECURITIES ELW J130,2023/03/24,2024/03/14,2024/03/18,주식,삼성전자,"21,300,000",KB증권,0.01,풋,유럽형,"55,700",KB증권,15,현금결제
5,KRA581215D32,58J139,KB증권(주) 주식워런트증권 제J139호,KBJ139네이버풋,KB SECURITIES ELW J139,2023/03/24,2024/02/08,2024/02/14,주식,NAVER,"23,900,000",KB증권,0.002,풋,유럽형,"185,000",KB증권,15,현금결제
6,KRA581163D34,58J187,KB증권(주) 주식워런트증권 제J187호,KBJ187현대상선콜,KB SECURITIES ELW J187,2023/03/24,2024/02/08,2024/02/14,주식,HMM,"12,000,000",KB증권,0.02,콜,유럽형,"24,900",KB증권,15,현금결제
7,KRA581165D32,58J189,KB증권(주) 주식워런트증권 제J189호,KBJ189모비스콜,KB SECURITIES ELW J189,2023/03/24,2024/03/14,2024/03/18,주식,현대모비스,"15,000,000",KB증권,0.002,콜,유럽형,"240,500",KB증권,15,현금결제
8,KRA581266D30,58J190,KB증권(주) 주식워런트증권 제J190호,KBJ190모비스풋,KB SECURITIES ELW J190,2023/03/24,2024/03/14,2024/03/18,주식,현대모비스,"16,200,000",KB증권,0.002,풋,유럽형,"204,000",KB증권,15,현금결제
9,KRA581101D47,58J295,KB증권(주) 주식워런트증권 제J295호,KBJ295삼성전자콜,KB SECURITIES ELW J295,2023/04/27,2024/01/11,2024/01/15,주식,삼성전자,"19,000,000",KB증권,0.01,콜,유럽형,"69,100",KB증권,15,현금결제
