,ISU_CD,ISU_SRT_CD,ISU_NM,ISU_ABBRV,ISU_ENG_NM,LIST_DD,ETF_OBJ_IDX_NM,IDX_CALC_INST_NM1,IDX_CALC_INST_NM2,ETF_REPLICA_METHD_TP_CD,IDX_MKT_CLSS_NM,IDX_ASST_CLSS_NM,LIST_SHRS,COM_ABBRV,CU_QTY,ETF_TOT_FEE,TAX_TP_CD
0,KR7470320003,470320,BNK BNK 24-11 회사채(AA-이상)액티브증권상장지수투자신탁(채권),BNK 24-11 회사채(AA-이상)액티브,BNK BNK 24-11 Corporate Bond(AA- or higher) Active ETF,2023/11/14,KAP 24-11 회사채 총수익 지수(AA-이상),한국자산평가(KAP),일반,실물(액티브),국내,채권,"2,294,000",비엔케이자산운용,"2,000",0.100000,배당소득세(보유기간과세)
1,KR7466810009,466810,BNK BNK 2차전지양극재증권상장지수투자신탁(주식),BNK 2차전지양극재,BNK BNK Secondary Battery Cathode Materials ETF,2023/10/19,iSelect 2차전지양극재 지수,NH투자증권,일반,실물(패시브),국내,주식,"700,000",비엔케이자산운용,"50,000",0.395000,비과세
2,KR7457930006,457930,BNK BNK 미래전략기술액티브증권상장지수투자신탁(주식),BNK 미래전략기술액티브,BNK BNK Future Strategic Technology Active ETF,2023/06/20,iSelect 미래전략기술 지수 (PR),NH투자증권,일반,실물(액티브),국내,주식,"550,000",비엔케이자산운용,"50,000",0.495000,배당소득세(보유기간과세)
3,KR7445690001,445690,BNK BNK 주주가치액티브증권상장지수투자신탁(주식),BNK 주주가치액티브,BNK BNK Shareholder Yield Active ETF,2022/10/27,FnGuide 주주가치 지수,FnGuide,일반,실물(액티브),국내,주식,"1,100,000",비엔케이자산운용,"50,000",0.495000,배당소득세(보유기간과세)
4,KR7292340007,292340,DB 마이티 200커버드콜ATM레버리지증권상장지수투자신탁[주식-파생형],마이티 200커버드콜ATM레버리지,DB Mighty KOSPI200 Covered Call ATM Leverage ETF,2018/03/20,코스피 200 커버드콜 ATM 지수,KRX,2X 레버리지,실물(패시브),국내,주식,"400,000",디비자산운용,"100,000",0.510000,배당소득세(보유기간과세)
5,KR7465780005,465780,DB 마이티 26-09 특수채(AAA)액티브증권상장지수투자신탁[채권],마이티 26-09 특수채(AAA)액티브,DB Mighty 26-09 Special Bond Active ETF,2023/09/21,KAP 26-09 특수채 지수(총수익),한국자산평가(KAP),일반,실물(액티브),국내,채권,"730,000",디비자산운용,"1,000",0.060000,배당소득세(보유기간과세)
6,KR7442260006,442260,DB 마이티 다이나믹퀀트액티브증권상장지수투자신탁[주식],마이티 다이나믹퀀트액티브,DB Mighty Dynamic Quant Active ETF,2022/10/25,코스피 200,KRX,일반,실물(액티브),국내,주식,"1,800,000",디비자산운용,"40,000",0.300000,배당소득세(보유기간과세)
7,KR7159800002,159800,DB마이티K100증권상장지수투자신탁(주식),마이티 코스피100,DB Mighty K100 ETF,2012/07/05,코스피 100,KRX,일반,실물(패시브),국내,주식,"240,000",디비자산운용,"40,000",0.390000,비과세
8,KR7361580004,361580,KB KBSTAR 200 Total Return증권상장지수투자신탁(주식),KBSTAR 200TR,KB KBSTAR 200 Total Return ETF,2020/08/21,코스피 200 TR,KRX,일반,실물(패시브),국내,주식,"12,550,000",케이비자산운용,"50,000",0.012000,배당소득세(보유기간과세)
9,KR7285000006,285000,KB KBSTAR 200IT증권상장지수투자신탁(주식),KBSTAR 200IT,KB KBSTAR 200 Information Technology ETF,2017/12/08,코스피 200 정보기술,KRX,일반,실물(패시브),국내,주식,"300,000",케이비자산운용,"20,000",0.190000,비과세
10,KR7287300008,287300,KB KBSTAR 200건설증권상장지수투자신탁(주식),KBSTAR 200건설,KB KBSTAR 200 Constructions ETF,2017/12/22,코스피 200 건설,KRX,일반,실물(패시브),국내,주식,"120,000",케이비자산운용,"20,000",0.190000,비과세
11,KR7287310007,287310,KB KBSTAR 200경기소비재증권상장지수투자신탁(주식),KBSTAR 200경기소비재,KB KBSTAR 200 Consumer Discretionary ETF,2017/12/22,코스피 200 경기소비재,KRX,일반,실물(패시브),국내,주식,"320,000",케이비자산운용,"20,000",0.190000,비과세
