,ISU_CD,ISU_SRT_CD,ISU_NM,ISU_ABBRV,ISU_ENG_NM,LIST_DD,LSTTRD_DD,LST_SETL_DD,ULY_TP_NM,SETLMULT,RGHT_TP_NM,EXER_PRC
0,KR4101V30005,101V3000,코스피200 F 202403,F 202403,KOSPI 200 F 202403,2023/03/10,2024/03/14,2024/03/15,지수(Index),"250,000",-,.00
1,KR4101V60002,101V6000,코스피200 F 202406,F 202406,KOSPI 200 F 202406,2022/06/10,2024/06/13,2024/06/14,지수(Index),"250,000",-,.00
2,KR4101V90009,101V9000,코스피200 F 202409,F 202409,KOSPI 200 F 202409,2023/09/15,2024/09/12,2024/09/13,지수(Index),"250,000",-,.00
3,KR4101VC0004,101VC000,코스피200 F 202412,F 202412,KOSPI 200 F 202412,2021/12/10,2024/12/12,2024/12/13,지수(Index),"250,000",-,.00
4,KR4101W60000,101W6000,코스피200 F 202506,F 202506,KOSPI 200 F 202506,2023/06/09,2025/06/12,2025/06/13,지수(Index),"250,000",-,.00
5,KR4101WC0003,101WC000,코스피200 F 202512,F 202512,KOSPI 200 F 202512,2022/12/09,2025/12/11,2025/12/12,지수(Index),"250,000",-,.00
6,KR4A016C0004,A016C000,코스피200 F 202612,F 202612,KOSPI 200 F 202612,2023/12/15,2026/12/10,2026/12/11,지수(Index),"250,000",-,.00
7,KR4401V3V6S0,401V3V6S,코스피200 SP 2403-2406,SP 2403-2406,KOSPI 200 SP 2403-2406,2023/12/15,2024/03/14,2024/03/15,지수(Index),"250,000",-,.00
8,KR4401V3V9S4,401V3V9S,코스피200 SP 2403-2409,SP 2403-2409,KOSPI 200 SP 2403-2409,2023/12/15,2024/03/14,2024/03/15,지수(Index),"250,000",-,.00
9,KR4401V3VCS0,401V3VCS,코스피200 SP 2403-2412,SP 2403-2412,KOSPI 200 SP 2403-2412,2023/12/15,2024/03/14,2024/03/15,지수(Index),"250,000",-,.00
10,KR4401V3W6S9,401V3W6S,코스피200 SP 2403-2506,SP 2403-2506,KOSPI 200 SP 2403-2506,2023/12/15,2024/03/14,2024/03/15,지수(Index),"250,000",-,.00
11,KR4401V3WCS8,401V3WCS,코스피200 SP 2403-2512,SP 2403-2512,KOSPI 200 SP 2403-2512,2023/12/15,2024/03/14,2024/03/15,지수(Index),"250,000",-,.00
12,KR4401V36CS2,401V36CS,코스피200 SP 2403-2612,SP 2403-2612,KOSPI 200 SP 2403-2612,2023/12/15,2024/03/14,2024/03/15,지수(Index),"250,000",-,.00
